A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	mandatory	obligatory	required	voluntary	optional	mandated	necessary	forbidden	permitted	prescribed
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	provided	injected	infused	presented	left	supplied	delivered	endowed	impressed	fed
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	mania	machines	criminals	killers	freaks	hysteria	sims	dogs	followers	fans
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	monitors	witnesses	participants	analysts	spectators	observations	journalists	fighters	observation	experts
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	gunshot	bullet	stab	knife	flesh	arrow	multiple	minor	blast	battle
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	dressed	masked	disguise	dressing	armoured	clothed	concealed	clad	guise	hiding
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	extension	affiliate	ally	arm	outpost	element	opponent	enemy	aspect	enclave
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	orchestral	classical	symphony	philharmonic	symphonies	musical	concerto	sonata	operatic	piano
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	activate	deployment	dispatch	assemble	launch	send	use	withdraw	utilize	operate
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	police	officials	courts	people	magistrates	officers	victims	investigators	forces	government
